,Schulname,Region,Schultraeger,Schulart,Schulzweig,PLZ,Strasse,Telefon,Fax,ORTSTEIL,Bauten,Fremdsprachen,spez_Angebote,Ganztagsbetrieb,Schulleitung,eMail,Internet,ZweiterBildungsweg,Grundschulteil,GymnasialeOberstufe,Ausstattung,AGs,ausserschulischePartner,Differenzierung,Mittagessen,BemerkungenSchulzweig,Kooperationen,Leistungskurse,DualesLernen,Schuljahr
02K05,Schule am Königstor (Integrierte Sekundarschule),Friedrichshain-Kreuzberg,öffentlich,Integrierte Sekundarschule,Integrierte Sekundarschule,10249,Weinstr. 3,447283411,447283415,Friedrichshain,"rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","1. Fremdsprache Englisch, 2. Fremdsprache Spanisch","Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich, Ganztagsschule in teilgebundener Form",,Fr. Nöthe,sek@koenigstor-os.schule-berlin-fk.de,http://www.sekundarschule-weinstrasse.cidsnet.de,0,0,0,"Schulküche; Textil-, Holz- und Metallwerkstatt; Computerraum mit 24 Schülerarbeitsplätzen; Teilungsraum mit 12 Schülerarbeitsplätzen; Integrationsraum für Kinder mit Handicap mit 4 Schülerarbeitsplätzen;  alle Räume sind mit einem Drucker ausgestattet und besitzen Internetzugang","Fußball, Basketball, Schülerradio, Homepage, Zeichnen, Schülerband, Tischtennis, Mofa, Spanisch","Stützrad e.V. (zur Unterstützung schuldistanzierter Schüler sowie zur Entwicklung grundlegender Kompetenzen im und außerhalb des Unterrichts); PSV Olympia Berlin e.V.; Lesepaten; Zusammenarbeit mit einer privaten Grundschule in den Bereichen Musik, Sport und Arbeitslehre; Kooperation mit einer Kita mit dem Ziel der Vorbereitung auf soziale Berufe; Kooperation mit einer Senioreneinrichtung unter dem Motto ""Vom Praktikanten zum Azubi""",Innere Differenzierung und Äußere Differenzierung,Mittagessenversorgung,,"in Kooperation mit 02B01, 02B05",,Service Learning; Betriebspraktika; Betriebserkundungen; Bewerbungstraining; Schülerfirmen; Schnupperpraktika; Praxislerngruppen,2013/14
02K06,Emanuel-Lasker-Schule,Friedrichshain-Kreuzberg,öffentlich,Integrierte Sekundarschule,Integrierte Sekundarschule,10245,Modersohnstr. 53,2910807,29669216,Friedrichshain,,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch","Ganztagsschule in teilgebundener Form, Profil Informationstechnik, sportbetontes Profil",Teilgebundener Ganztagsbetrieb,Hr. Herold,info@emanuel-lasker-os.cidsnet.de,http://www.emanuel-lasker-os.cidsnet.de,0,0,0,,"Sport (Fußball, Volleyball u.a.); Musik (Gitarre, Gesang)",Musikschule Allegro e.V.; Einhorn gGmbH -  Schulsozialarbeit; Mensch-Umwelt-Tier e.V. (MUT),"Innere Differenzierung; Differenzierter Förderunterricht in Deutsch, Mathematik und Englisch für leistungsstarke und leistungsschwächere Schüler",Mittagessenversorgung durch den Anbieter LUNA,"Modellschule für pädagogische Schulentwicklung; Modellversuch ""Informationstechnische Grundbildung""; Multifachliches Schulprogramm mit Sport- und Projektorientierung; jährliches Ski-Lager; Bilinguales Projekt Englisch/Geschichte","in Kooperation mit 01B03, 02B03, 02B04, 07B03, 11B02",,Service Learning; Betriebspraktika; Betriebserkundungen; Bewerbungstraining;,2013/14
02K07,Georg-Weerth-Schule,Friedrichshain-Kreuzberg,öffentlich,Integrierte Sekundarschule,Integrierte Sekundarschule,10249,Eckertstr. 16,24656714,24656719,Friedrichshain,,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch","Ganztagsschule in teilgebundener Form, medienbetontes Profil, Neigungsorientierte Einrichtung von Klassen",Teilgebundener Ganztagsbetrieb,Hr. Zander,Weerth.cids@t-online.de,http://www.georg-weerth-schule.de,0,0,0,In fast jedem Klassenraum steht ein PC; zwei Computerräume mit insgesamt 40 PCs; ein Raum mit iMacs; 10 Netbooks für den mobilen Einsatz im Unterricht; Notebook-Klassen mit von den Eltern finanzierten Netbooks,,Deutsche Bahn AG; Daimler AG; Berufsfachschule der AUCOTEAM GmbH; AOK - Die Gesundheitskasse; FORUM Berufsbildung e.V; Polizeiabschnitt 58; Einhorn e.V. (Träger des Projektes gemeinsam-Schule-machen); Freudenberg Dichtungs- und Schwingungstechnik GmbH & Co. KG; Gold Hotel am Wismarplatz; METRO Berlin-Pankow,"Äußere Differenzierung in Deutsch, Mathematik, Naturwissenschaften und Englisch ab Jahrgangsstufe 8",Mittagessenversorgung durch den Anbieter LUNA,Profil: wirtschaftlich-berufsorientierend; Laptopklassen; Blockunterricht im 80-Minuten-Modell; Schülerclub,"in Kooperation mit 02B04, 11B02",,Assessment-Center; Berufswahlpass; Betriebserkundungen; Betriebspraktikum; Bewerbungstraining; Schülerfirmen,2013/14
02K08,8. Schule (Integrierte Sekundarschule),Friedrichshain-Kreuzberg,öffentlich,Integrierte Sekundarschule,Integrierte Sekundarschule,10997,Skalitzer Str. 55,22503511,22503515,Kreuzberg,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","1. Fremdsprache Englisch, 2. Fremdsprache Spanisch, 2. Fremdsprache Türkisch",Ganztagsschule in teilgebundener Form,Teilgebundener Ganztagsbetrieb,Hr. Böttig,schule-skalitzer@gmx.de,http://www.schule-skalitzer.de,1,0,0,"Einsatz von Smartboards und Laptops; drei Computerräume; Holz-, Metall- und Textilwerkstatt","Badminton; Fotografie, Mediation; Rudern; Internet; Basketball; Bollywood; Handball; Judo; Krafttraining; Mädchenfußball; Religionen in Berlin; Textilwerkstatt; Zeitung; Musik","Pestalozzi-Fröbel-Haus (Schulsozialarbeit, Werkpädagogik, Berufsorientierung, Projektentwicklung, Fortbildungen); Polizeiabschnitt 53; Deutsche Bahn AG; Deutsche Bank AG; Seniorenheim St. Johannes Berlin (Projekt ""Alt und Jung""); Mövenpick Hotels & Resorts AG; Marriott Hotel Berlin (Marriott International, Inc.); Stiftung Brandenburger Tor - Förderbereich Bildung und Erziehung; Gemeinnützige Hertie-Stiftung; ZEIT-Stiftung Ebelin und Gerd Bucerius; Deutsche Bank Stiftung; Handwerkskammer Berlin; Industrie- und Handelskammer (IHK) zu Berlin; Christliches Jugenddorfwerk Deutschland e.V. (CJD) für berufliche Orientierung; Fortbildungsinstitut für die pädagogische Praxis FiPP e.V.; bbw Akademie für betriebswirtschaftliche Weiterbildung GmbH (Berliner Netzwerk für Ausbildung); Bundesagentur für Arbeit; Institut für Produktives Lernen in Europa (IPLE); Technische Universität Berlin; Rudergesellschaft Wiking e.V.; Türkiyemspor Berlin e.V. (Fußball) u.v.m.","Äußere Differenzierung in Deutsch, Mathematik, Englisch und Physik; Besondere Förderangebote: Sprachbildungs- und Begabtenförderprogramme",Mittagessenversorgung,"Schulprogramm ""Von der Schule in den Beruf""; Elterncafé","in Kooperation mit 02B01, 02B03, 02B04, 02G18, 02G23, 03B07",,Betriebspraktika; Bewerbungstraining,2013/14
02K09,9. Schule (Integrierte Sekundarschule),Friedrichshain-Kreuzberg,öffentlich,Integrierte Sekundarschule,Integrierte Sekundarschule,10967,Graefestr. 85-88,50586011,50586015,Kreuzberg,"rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","1. Fremdsprache Englisch, 2. Fremdsprache Spanisch","berufsorientiertes Profil, Besondere Organisationsform des Dualen Lernens: Sonstige, Ganztagsschule in teilgebundener Form, Profil Wirtschaft-Arbeit-Technik (WAT)",,Fr. Reicheneder,sekretariat@graefemail.de,http://www.wir-sind-graefe.com,0,0,0,"Werkstätten: Textil, Holz, Küche, Grafik, Fahrrad, NaWi, Elektro, Medien; Schülerclub; Schulbackstube (im Aufbau)","Konfliktlotsentraining, Hausaufgabenbetreuung, Schülercafè, Mädchentanz, Instrumentalunterricht, Billard-Training, Konfliktlotsen-Training, div. Spiele, Theater, Schülercafè, Karaoke, Mädchen-Jungen Fußball, Stop-Motion, Comic-Zeichnen","Pestalozzi-Fröbel-Haus (Projekt Arbeiten und Lernen); Industrie- und Handelskammer zu Berlin (IHK); Billardverein PBC Adler 80 e.V.;  Kreuzberger Musikalische Aktion (KMA) - Antenne; FAA Nord (BVBO); Bäckerei Thürmann; Schulpartnerschaft Niederlande; Lichtjugend e.V.; Türkischer Elternverein; Kooperation mit der FU: Projekt TuWas; Deutsche Kinder- u. Jugendstiftung/DJKS; Weltküche; QM-Düttmannsiedlung; KUMULUS e.V.; BQN: Berlin braucht dich; Jobentdecker; Teach First; populare e.V.; Drehpunkt GSJ/Ganztag; Kooperationen mit Schulen im Graefekiez; Musikschule Kreuzberg; Schulnetzwerk Ganztags, VBKI: Leseparten; Komm auf Tour; Tandem","Innere Differenzierung in Deutsch, Mathematik und Englisch; Äußere Differenzierung im Lesetraining",Mittagessenversorgung,Schule mit 40-Minuten-Stunden; Sprachbildung/Prüfungsvorbereitung: 3 std. Lesetraining in Kl. 7/8 und 3 Std. Schreibtraining in Kl. 9/10,"in Kooperation mit 02B01, 02B04, 02G35",,Betriebspraktika; Werkpädagogische Lerngruppen;  Betriebserkundungen; Bewerbungstraining; Schülerfirmen; Schnupperpraktika; 2 Tage Praktikum im Betrieb - 3 Tage Schule - in Klasse 9,2013/14
02K10,10. Schule (Integrierte Sekundarschule),Friedrichshain-Kreuzberg,öffentlich,Integrierte Sekundarschule,Integrierte Sekundarschule,10961,Bergmannstr. 64,50585611,50585615,Kreuzberg,,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch",Ganztagsschule in teilgebundener Form,Gebundener Ganztagsbetrieb,Fr. Kagerer,Sek@F.Freiligrath-OS.Schule-Berlin-Fk.de,http://ferdinand-freiligrath-schule.de,0,0,0,"Fachräume für Naturwissenschaften, Sport, Musik, Bildende Kunst, Textildesign, Gastronomie; Computerfachräume; Holz- und Metallwerkstatt; Aula; Schulbibliothek; Freizeitbereich; Mensa",Computer-Technik; Französisch; Fußball; Graffiti; Modedesign; Manga; Schach; Fotografie; Französisch; Musik; Literaturwerkstatt; Tanzen; Vorbereitung auf den MSA,Bundesagentur für Arbeit; Präventions- und Ermittlungsteam der Polizeidirektion 5; Pestalozzi-Fröbel-Haus; Berliner Philharmoniker (Workshops); Arabisches Kulturinstitut AKI e.V.; Landesarbeitsgemeinschaft Berlin zur Verhütung von Zahnerkrankungen LAG e.V.; Friedrich-Ebert-Stiftung e.V.; Lebenswelt gGmbH (interkulturelle Jugendhilfe); Humanistischer Verband Deutschlands (Integration des Bereichs Lebenskunde in die Arenen); BIBEG gemeinnützige Bildungs- und Beschäftigungsgesellschaft mbH,,Mittagessenversorgung,,"in Kooperation mit 01B03, 02B03, 02B04, 05B02",,,2013/14
02P02,DRK-Bildungswerk Nord gGmbH,Friedrichshain-Kreuzberg,privat,Kombinierte berufliche Schule,Berufsfachschule,10243,Warschauer Str. 34-36,2934800,29348029,Friedrichshain,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,"genehmigte Ersatzschule, Sozialwesen, Staatlich anerkannte Ersatzschule",,Hr. Müller-Röpke,info@drk-fsa.de,http://www.drk-fsa.de,0,0,0,zehn Computer; drei Medienwagen mit Beamer; Laptops; zwei interaktive Whiteboards,,"70 Kooperationspartner im ambulanten, stationären und teilstätionären Bereich der Altenpflege; 20 Kooperationspartner im Kinderpflege und Behindertenbereich",,,"für Altenpflege (3-jährig); Sozialassistent/in (2-jährig); EU-Projekt ""MigrantInnen in die Pflege"" / LOAD - Schulung von DozentInnen für den ""Umgang mit demenziell Erkrankten""",,,Betriebspraktika; Betriebserkundungen; Bewerbungstraining; Produktives Lernen,2013/14
02P02,DRK-Bildungswerk Nord gGmbH,Friedrichshain-Kreuzberg,privat,Kombinierte berufliche Schule,Fachschule,10243,Warschauer Str. 34-36,2934800,29348029,Friedrichshain,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",,"genehmigte Ersatzschule, Sozialwesen",,Hr. Müller-Röpke,info@drk-fsa.de,http://www.drk-fsa.de,0,0,0,,,,,,für Sozialpädagogik - Vollzeitausbildung; Aufnahme des Schulbetriebs  zum 01.02.2014,,,,2013/14
02P03,Islamische Grundschule,Friedrichshain-Kreuzberg,privat,Grundschule,Grundschule,10967,Boppstr. 4,69507860,69507861,Kreuzberg,,"1. Fremdsprache Englisch, 1. Fremdsprache Türkisch","Ganztagsschule in offener Form, Staatlich anerkannte Ersatzschule",Offener Ganztagsbetrieb,Fr. Petersen,igs.berlin@t-online.de,http://www.islamische-grundschule.de,0,0,0,,Arabisch für Nichtmuttersprachler; Tischtennis; Handarbeiten; Theater; Schülerzeitung; Meditation,MittelpunktSchulbibliothek Adalbertstraße (Wilhelm-Liebknecht-Schulbibliothek); StadtSchulbibliothek Friedrichshain-Kreuzberg Frankfurter Allee,,,Alle Schüler erhalten in den Klassen 1 bis 3 eine besondere Sprachförderung (Deutsch als Zweitsprache); Türkisch- und Arabischunterricht; Islamischer Religionsunterricht,,,,2013/14
02P04,Freie Waldorfschule Kreuzberg,Friedrichshain-Kreuzberg,privat,Freie Waldorfschule,Freie Waldorfschule,10969,Ritterstr. 78,61510100,615101019,Kreuzberg,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)","Fremdsprache ab Klasse 1 Englisch, Fremdsprache ab Klasse 1 Russisch","Ganztagsschule in offener Form, Staatlich anerkannte Ersatzschule",Offener Ganztagsbetrieb,Hr. Münch,info@fwsk.net,http://www.fwsk.net,0,1,1,,,,,,,,,,2013/14
02P05,Fachschulen der Stiftung Sozialpädagogisches Institut Berlin,Friedrichshain-Kreuzberg,privat,Kombinierte berufliche Schule,Berufsfachschule,10963,Hallesches Ufer 32-38,25937390,259373950,Kreuzberg,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,"genehmigte Ersatzschule, Sozialwesen, Staatlich anerkannte Ersatzschule",,Fr. Dr. Hoppe,fachschulen@stiftung-spi.de,http://www.stiftung-spi.de,0,0,0,,,Einrichtungen des Gesundheit- und Sozialwesens als Ausbildungsorte,,,für Altenpflege (3-jährig),,,,2013/14
02P05,Fachschulen der Stiftung Sozialpädagogisches Institut Berlin,Friedrichshain-Kreuzberg,privat,Kombinierte berufliche Schule,Fachschule,10963,Hallesches Ufer 32-38,25937390,259373950,Kreuzberg,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",Englisch,"genehmigte Ersatzschule, Sozialwesen, Staatlich anerkannte Ersatzschule",,Fr. Dr. Hoppe,fachschulen@stiftung-spi.de,http://www.stiftung-spi.de,0,0,0,,,Einrichtungen des Gesundheit- und Sozialwesens als Ausbildungsorte,,,für Sozialpädagogik; Heilpädagogik,,,,2013/14
02P07,Campus Berufsbildung e.V.,Friedrichshain-Kreuzberg,privat,Kombinierte berufliche Schule,Berufsfachschule,10969,Friedrichstr. 231,25938643,25938646,Kreuzberg,,"Englisch, Französisch","genehmigte Ersatzschule, Wirtschaft und Verwaltung",,"Hr. Prof. Dr. Meumann, Fr. Wollentin",kbfs@campus-bb.de,http://www.campus-bb.de,0,0,0,,,,,,"für Informationstechnologie, Wirtschaft u. Verwaltung, Elektronik u. Datentechnik, Automatisierungs- u. Computertechnik; kaufm. Assistenten - Fachrichtung: Fremdsprachen",,,,2013/14
02P07,Campus Berufsbildung e.V.,Friedrichshain-Kreuzberg,privat,Kombinierte berufliche Schule,Berufliches Gymnasium,10969,Friedrichstr. 231,25938643,25938646,Kreuzberg,,,"genehmigte Ersatzschule, Staatlich anerkannte Ersatzschule, Wirtschaft und Verwaltung",,"Hr. Prof. Dr. Meumann, Fr. Wollentin",kbfs@campus-bb.de,http://www.campus-bb.de,0,0,0,,,,,,,,,,2013/14
02P08,"Sonderschule mit dem Förderschwerpunkt ""Körperliche und motorische Entwicklung""",Friedrichshain-Kreuzberg,privat,Übrige Förderschwerpunkte,Übrige Förderschwerpunkte,10969,Ritterstr. 78,61510100,615101019,Kreuzberg,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",,"Ganztagsschule in offener Form, genehmigte Ersatzschule",Offener Ganztagsbetrieb,Fr. Dr. Barth,u.barth@fwsk.net,http://www.fwsk.net,0,0,0,,,,,,,,,,2013/14
02P09,Freie Schule Kreuzberg (Grundschule),Friedrichshain-Kreuzberg,privat,Grundschule,Grundschule,10997,Wrangelstr. 128,69535365,61651125,Kreuzberg,,1. Fremdsprache Englisch,"Ganztagsschule in offener Form, genehmigte Ersatzschule",Offener Ganztagsbetrieb,Fr. Mülders,roland.meyer@freieschulekreuzberg.de,http://freieschulekreuzberg.de,0,0,0,,,,,,,,,,2013/14
02P10,Vitanas Akademie gGmbH,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10243,Warschauer Str. 39-40,5498860,54988610,Friedrichshain,"Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",,"genehmigte Ersatzschule, Sozialwesen",,Fr. Dr. Windels-Buhr,akademie@vitanas.de,http://www.vitanas.de,0,0,0,,,,,,für Altenpflege,,,,2013/14
02P11,Berlin Bilingual School (BeBiS),Friedrichshain-Kreuzberg,privat,Integrierte Sekundarschule,Integrierte Sekundarschule,10249,Weinstr. 1-3,27582915,27582913,Friedrichshain,,"S1 Englisch/Französisch, S4 Englisch/Spanisch","bilinguale Angebote Deutsch/Englisch, Ganztagsschule in offener Form, Staatlich anerkannte Ersatzschule",Offener Ganztagsbetrieb,Fr. Donner,school@pfefferwerk.de,http://www.berlin-kids-international.de,0,1,1,,,,,,,,,,2013/14
02P12,BIP-Kreativitätsgrundschule Berlin Friedrichshain,Friedrichshain-Kreuzberg,privat,Grundschule,Grundschule,10243,Strausberger Str. 38,29035117,29039449,Friedrichshain,,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 3. Fremdsprache Arabisch, 3. Fremdsprache Chinesisch","Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen, Schulstation, Staatlich anerkannte Ersatzschule",Offener Ganztagsbetrieb,Fr. Meusel-Durré,schule-fh@kreaschulzentrum.de,http://www.kreaschulzentrum.de,0,0,0,,"Chor, Schach, Badminton, Arabisch","Schul-Förderverein ""4CreativeKids"" e.V.; GrünDesign - Architekturbüro für Garten- und Landschaftsgestaltung 

Dieter Mielitz (Projekt KREALAND Schulhofgestaltung); Getränke 030 - Getränkelieferservice in Berlin; Gourmello e.V.; PSV Olympia Berlin e.V. (Judo); Weltfriedensdienst e.V.;  Kinder im Kiez GmbH; Der PARITÄTISCHE Wohlfahrtsverband Landesverband Berlin e.V.; Capoeira Akademie Berlin; J. E. Energiespar GmbH; Tanzteam Step by Step e.V; Akademie für Kreativitätspädagogik Leipzig gGmbH",,Mittagessenversorgung durch den Anbieter Gourmello e.V.,Instrumentalunterricht und zwei Fremdsprachen ab Jahrgangsstufe 1,"in Kooperation mit 03P18, 11P04, 11P09",,,2013/14
02P13,Netzwerk-Schule (Gemeinschaftsschule),Friedrichshain-Kreuzberg,privat,Integrierte Sekundarschule,Integrierte Sekundarschule,10243,Marchlewskistr. 40,40393340,25769700,Friedrichshain,,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch","Ganztagsschule in offener Form, Gemeinschaftsschule ohne Teilnahme an der Pilotphase, genehmigte Ersatzschule",Offener Ganztagsbetrieb,Hr. Weimann,schule@netzwerkspielkultur.de,http://www.netzwerkspielkultur.de/schule,0,1,0,,,,,,,,,,2013/14
02P14,Freie Fachschule für Sozialpädagogik,Friedrichshain-Kreuzberg,privat,Fachschule,Fachschule,10969,Besselstr. 13-14,25927144,25927143,Kreuzberg,,,"genehmigte Ersatzschule, Sozialwesen, Staatlich anerkannte Ersatzschule",,Hr. Ostkämper,post@freie-fachschule-berlin.de,http://freie-fachschule-berlin.de,0,0,0,,,Vereinigung der Waldorfkindergärten Berlin/Brandenburg e.V.,,,für Sozialpädagogik,,,,2013/14
02P16,BWK Berufsfachschule für Altenpflege,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10997,Cuvrystr. 34,6179290,61792937,Kreuzberg,,,genehmigte Ersatzschule,,Hr. Sorgec,kontakt@bwk-berlin.de,http://www.bwk-berlin.de,0,0,0,,,,,,,,,,2013/14
02P18,Pädalogik - Fachschule für Sozialpädagogik,Friedrichshain-Kreuzberg,privat,Fachschule,Fachschule,10245,Kopernikusstr. 23,347476172,347476194,Friedrichshain,,,"genehmigte Ersatzschule, Sozialwesen, Staatlich anerkannte Ersatzschule",,Fr. Krage,info@paedalogik.de,http://www.paedalogik.de,0,0,0,,,,,,berufsbegleitende Erzieherausbildung (3-jährig),,,,2013/14
02P19,Forum Berufsbildung,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10969,Charlottenstr. 2,2590080,25900810,Kreuzberg,,,"genehmigte Ersatzschule, Sozialwesen",,Fr. Pentz,info@forum-berufsbildung.de,http://www.forum-berufsbildung.de,0,0,0,,,,,,für Altenpflege (3-jährig); für Sozialassistenz,,,,2013/14
02P20,Berufsfachschulen der WBS Training Schulen gGmbH,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10247,Voigtstr. 3,24326902,42017847,Friedrichshain,,,"Sozialwesen, Staatlich anerkannte Ersatzschule",,"Fr. Bordihn, Fr. Stiess",schulen.berlin@wbstraining.de,http://www.wbs-schulen.de,0,0,0,,,,,,für Altenpflege; für Sozialassistenz,,,,2013/14
02P22,Pro Inklusio-Fachschule für Sozialpädagogik,Friedrichshain-Kreuzberg,privat,Fachschule,Fachschule,10243,Marchlewskistr. 91,20078010,20078465,Friedrichshain,,Englisch,"genehmigte Ersatzschule, Sozialwesen",,Fr. Szesny,info@procedo-berlin.com,http://www.procedo-berlin.com,0,0,0,,,,,,Teilzeitform mit dem Fachprofil Integration,,,,2013/14
02P23,concept gmbh-Berufsfachschule für Altenpflege,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10245,Revaler Str. 100,48485850,48485868,Friedrichshain,,,"genehmigte Ersatzschule, Sozialwesen",,Fr. Vasek,info@concept-berlin.de,http://www.concept-berlin.de,0,0,0,,,,,,,,,,2013/14
02P25,Evangelische Schule Berlin-Friedrichshain (Grundschule),Friedrichshain-Kreuzberg,privat,Grundschule,Grundschule,10249,Petersburger Platz 5,32296700,32297730,Friedrichshain,,Fremdsprache ab Klasse 1 Englisch,"Ganztagsschule in offener Form, genehmigte Ersatzschule",Offener Ganztagsbetrieb,Fr. Klotz,info@ev-schule-friedrichshain.de,http://www.ev-schule-friedrichshain.de,0,0,0,,,,,,,,,,2013/14
02P26,VIA-Berufsfachschule für Altenpflege,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10969,Axel-Springer-Str. 42,25373927,25373933,Kreuzberg,,,"genehmigte Ersatzschule, Sozialwesen",,Fr. Klotz,u.klotz@via-berlin.de,http://www.via-berufsfachschule.de,0,0,0,,,,,,,,,,2013/14
02P27,bfw-Berufsfachschule für Altenpflege,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10247,Frankfurter Allee 077,42025430,,Friedrichshain,,,"genehmigte Ersatzschule, Sozialwesen",,Hr. Kramer,kramer.rene@bfw.de,http://www.bfw.de,0,0,0,,,,,,für Altenpflege (Vollzeit- und Teilzeitausbildung),,,,2013/14
02P28,D&D Bildungsagentur GmbH,Friedrichshain-Kreuzberg,privat,Berufsfachschule,Berufsfachschule,10247,Frankfurter Allee 77,31165291,31165293,Friedrichshain,,,"genehmigte Ersatzschule, Sozialwesen",,Fr. Klink,info@dd-bildungsagentur.de,http://www.dd-bildungsagentur.de,0,0,0,,,,,,"für Altenpflege 3-jährig, Vollzeitausbildung",,,,2013/14
02S01,Schule am Friedrichshain,Friedrichshain-Kreuzberg,öffentlich,"Förderschwerp. ""Lernen""","Förderschwerp.""Lernen""",10243,Lasdehner Str. 19,293474231,293474235,Friedrichshain,,1. Fremdsprache Englisch,"Ganztagsschule in offener Form, Schulen mit sonderpäd. Förderschwerpunkt",Offener Ganztagsbetrieb,Fr. Johst-Schrader,sl@schule-am-friedrichshain.schule-berlin-fk.de,http://www.schule-am-friedrichshain.schule-berlin.net,0,0,0,,,,,,,,,,2013/14
02S01,Schule am Friedrichshain,Friedrichshain-Kreuzberg,öffentlich,"Förderschwerp. ""Lernen""",Übrige Förderschwerpunkte,10243,Lasdehner Str. 19,293474231,293474235,Friedrichshain,,1. Fremdsprache Englisch,Schulen mit sonderpäd. Förderschwerpunkt,Offener Ganztagsbetrieb,Fr. Johst-Schrader,sl@schule-am-friedrichshain.schule-berlin-fk.de,http://www.schule-am-friedrichshain.schule-berlin.net,0,0,0,,,,,,Berufsqualifizierender Lehrgang- Förderschwerpunkt Lernen/ Autistische Behinderung,,,,2013/14
02S01,Schule am Friedrichshain,Friedrichshain-Kreuzberg,öffentlich,"Förderschwerp. ""Lernen""",Berufsschule mit sonderpäd. Aufgaben,10243,Lasdehner Str. 19,293474231,293474235,Friedrichshain,,,,Offener Ganztagsbetrieb,Fr. Johst-Schrader,sl@schule-am-friedrichshain.schule-berlin-fk.de,http://www.schule-am-friedrichshain.schule-berlin.net,0,0,0,,,,,,"Förderschwerpunkt ""Autistische Behinderung""",,,,2013/14
02S02,Gustav-Meyer-Schule,Friedrichshain-Kreuzberg,öffentlich,"Förderschwerp. ""Geistige Entwicklung""","Förderschwerp.""Geistige Entwicklung""",10999,Kohlfurter Str. 22,50586131,50586135,Kreuzberg,"rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)",,"Ganztagsschule in gebundener Form, Schulen mit sonderpäd. Förderschwerpunkt",Gebundener Ganztagsbetrieb,Fr. Steinke,Sek@g.meyer-sos.schule-berlin-fk.de,http://www.gustav-meyer-schule.cidsnet.de,0,0,0,,"Musik: Samba, Tanzen, Schulband; Sport: Fußball, Hockey, Schwimmen; IT: Computer",,,,,,,,2013/14
