BSN	Schulname	Region	Schultraeger	Schulart	Schulzweig	PLZ	Strasse	Telefon	Fax	ORTSTEIL	Bauten	Fremdsprachen	spez_Angebote	Schulleitung	eMail	Internet	Ganztagsbetrieb	ZweiterBildungsweg	Grundschulteil	GymnasialeOberstufe	DualesLernen	BemerkungenSchulzweig		Leistungskurse	Schuljahr
02Y08	Hermann-Hesse-Oberschule	Friedrichshain-Kreuzberg	öffentlich	Gymnasium	Gymnasien	10967	Böckhstr. 16	50586031	50586035	Kreuzberg		3. Fremdsprache Latein, 4. Fremdsprache Italienisch, S1 Englisch/Französisch, S5 Französisch/Englisch	Ganztagsschule in gebundener Form	Hr. Braden	kontakt@hesse-kreuzberg.de	http://www.b.shuttle.de/hhos	 	0	0	0		Titel "Schule ohne Rassismus - Schule mit Courage"; Vorbereitung auf DELF-Prüfungen und Cambridge-ESOL-Prüfung		Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Französisch, Mathematik, Physik, Politische Weltkunde	2014/15  
03A04	Abendgymnasium Prenzlauer Berg	Pankow	öffentlich	Abend-Gymnasium	Abend-Gymnasium	10439	Driesener Str.22	4254218	4250121	Prenzlauer Berg		Englisch, Französisch, Latein, Russisch, Spanisch	Abendlehrgänge zum Erwerb der allgemeinen Hochschulreife, Lehrgänge zum Erwerb der allgemeinen Hochschulreife	Hr. Grimmer	mail@abendgymnasium-berlin.de	http://www.abendgymnasium-berlin.de	 	1	0	0					2014/15  
03A05	Volkshochschule Pankow	Pankow	öffentlich	Volkshochschule	Volkshochschule	10409	Hanns-Eisler-Str. 78-80	40048437		Prenzlauer Berg			Abendlehrgänge zum Erwerb der Berufsbildungsreife, Abendlehrgänge zum Erwerb des mittleren Schulabschlusses	Hr. Quitta	ZBW-Pankow@gmx.de	http://www.zbw-pankow.de	 	1	0	0		Sekr.: 40048437 Mo.-Do. 16:30-17:30; im Gebäude der Gustave-Eiffel-Oberschule, Haus 1; Abendlehrgänge zum Erwerb der Berufsbildungsreife; Abendlehrgänge zum Erwerb des mittleren Schulabschlusses (MSA)			2014/15  
03B02	Berufliche Schule für Sozialwesen Pankow	Pankow	öffentlich	Kombinierte berufliche Schule	Berufsfachschule	13158	Erbeskopfweg 6-10	50019910	50019924	Rosenthal	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Lehrgänge zum Erwerb des mittleren Schulabschlusses, Sozialwesen	Fr. Kubicki	sekretariat@schule-sozialwesen-pankow.de	http://www.beruflicheschulefuersozialwesenpankow.cidsnet.de/	 	0	0	0		für Sozialassistenz			2014/15  
03B02	Berufliche Schule für Sozialwesen Pankow	Pankow	öffentlich	Kombinierte berufliche Schule	Fachoberschule	13158	Erbeskopfweg 6-10	50019910	50019924	Rosenthal	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Lehrgänge zum Erwerb des mittleren Schulabschlusses, Sozialwesen	Fr. Kubicki	sekretariat@schule-sozialwesen-pankow.de	http://www.beruflicheschulefuersozialwesenpankow.cidsnet.de/	 	0	0	0		für Sozialwesen, Fachrichtung Gesundheit- u. Soziales			2014/15  
03B02	Berufliche Schule für Sozialwesen Pankow	Pankow	öffentlich	Kombinierte berufliche Schule	Fachschule	13158	Erbeskopfweg 6-10	50019910	50019924	Rosenthal	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Lehrgänge zum Erwerb des mittleren Schulabschlusses, Sozialwesen	Fr. Kubicki	sekretariat@schule-sozialwesen-pankow.de	http://www.beruflicheschulefuersozialwesenpankow.cidsnet.de/	 	0	0	0		für Sozialpädagogik, Heilpädagogik,  Heilerziehungspflege, Familienpfflege			2014/15  
03B03	Martin-Wagner-Schule (OSZ Bautechnik II)	Pankow	öffentlich	Oberstufenzentrum	Berufsschule	13086	Gustav-Adolf-Str. 66	912052105	912052104	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Bautechnik, Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Berufsbildungsreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich	Hr. Behrens	verwaltung@oszbau2.de	http://www.oszbau2.de	 	0	0	0		BQL			2014/15  
03B03	Martin-Wagner-Schule (OSZ Bautechnik II)	Pankow	öffentlich	Oberstufenzentrum	Berufsfachschule	13086	Gustav-Adolf-Str. 66	912052105	912052104	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Bautechnik, Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Berufsbildungsreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich	Hr. Behrens	verwaltung@oszbau2.de	http://www.oszbau2.de	 	0	0	0		Schulische Ausbildung zum Bauzeichner (IHK) u. Techn. Assistent für Datenverarbeitung, Maurer,  (1-, 2- u. 3-jährig)			2014/15  
03B03	Martin-Wagner-Schule (OSZ Bautechnik II)	Pankow	öffentlich	Oberstufenzentrum	Fachoberschule	13086	Gustav-Adolf-Str. 66	912052105	912052104	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Bautechnik, Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Berufsbildungsreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich	Hr. Behrens	verwaltung@oszbau2.de	http://www.oszbau2.de	 	0	0	0		Doppelqualifizierende Bildungsgänge (Berufsausbildung u. Fachhochschulreife, für den Bereich Technik			2014/15  
03B03	Martin-Wagner-Schule (OSZ Bautechnik II)	Pankow	öffentlich	Oberstufenzentrum	Berufsoberschule	13086	Gustav-Adolf-Str. 66	912052105	912052104	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Bautechnik, Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Berufsbildungsreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich	Hr. Behrens	verwaltung@oszbau2.de	http://www.oszbau2.de	 	0	0	0					2014/15  
03B04	Brillat-Savarin-Schule (OSZ Gastgewerbe)	Pankow	öffentlich	Oberstufenzentrum	Berufsschule	13088	Buschallee 23A	9142660	914266220	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	berufsorientiertes Profil, Ernährung und Hauswirtschaft	Hr. Enste	sekretariat@osz-gastgewerbe.de	http://www.osz-gastgewerbe.de	 	0	0	0					2014/15  
03B04	Brillat-Savarin-Schule (OSZ Gastgewerbe)	Pankow	öffentlich	Oberstufenzentrum	Berufsfachschule	13088	Buschallee 23A	9142660	914266220	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	berufsorientiertes Profil, Berufsvorbereitung mit Qualifizierungsbausteinen, Ernährung und Hauswirtschaft, Lehrgänge zum Erwerb der Berufsbildungsreife, Lehrgänge zum Erwerb der erweiterten Berufsbildungsreife, Lehrgänge zum Erwerb des mittleren Schulabschlusses	Hr. Enste	sekretariat@osz-gastgewerbe.de	http://www.osz-gastgewerbe.de	 	0	0	0		1-jährig			2014/15  
03B04	Brillat-Savarin-Schule (OSZ Gastgewerbe)	Pankow	öffentlich	Oberstufenzentrum	Fachoberschule	13088	Buschallee 23A	9142660	914266220	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch, 2. Fremdsprache Französisch	berufsorientiertes Profil, Ernährung und Hauswirtschaft	Hr. Enste	sekretariat@osz-gastgewerbe.de	http://www.osz-gastgewerbe.de	 	0	0	0		1-jährig			2014/15  
03B04	Brillat-Savarin-Schule (OSZ Gastgewerbe)	Pankow	öffentlich	Oberstufenzentrum	Berufliches Gymnasium	13088	Buschallee 23A	9142660	914266220	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	S1 Englisch/Französisch	berufsorientiertes Profil, Ernährung und Hauswirtschaft, Lehrgänge zum Erwerb der allgemeinen Hochschulreife	Hr. Enste	sekretariat@osz-gastgewerbe.de	http://www.osz-gastgewerbe.de	 	0	0	0	 	Ernährung und Naturwissenschaften bilden die fachlichen Schwerpunkte			2014/15  
03B04	Brillat-Savarin-Schule (OSZ Gastgewerbe)	Pankow	öffentlich	Oberstufenzentrum	Berufsoberschule	13088	Buschallee 23A	9142660	914266220	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	1. Fremdsprache Englisch, 2. Fremdsprache Französisch	berufsorientiertes Profil, Ernährung und Hauswirtschaft, Lehrgänge zum Erwerb der allgemeinen Hochschulreife	Hr. Enste	sekretariat@osz-gastgewerbe.de	http://www.osz-gastgewerbe.de	 	0	0	0		2- jährige Berufsoberschule; Ernährung und Naturwissenschaften bilden die fachlichen Schwerpunkte			2014/15  
03B06	Konrad-Zuse-Oberschule	Pankow	öffentlich	Berufsschule mit sonderpäd. Aufgaben	Berufsschule mit sonderpäd. Aufgaben	13156	Hermann-Hesse-Str. 34-37	9160940	9165691	Niederschönhausen		Englisch	Berufsvorbereitung mit Qualifizierungsbausteinen, Elektrotechnik, Ernährung und Hauswirtschaft, Erwerb der Berufsbildungsreife möglich, Holztechnik, Metalltechnik, Textiltechnik und Bekleidung	Hr. Klinger	Konrad-Zuse-Schule@t-online.de	http://www.konradzuseschuleberlin.de	 	0	0	0					2014/15  
03B06	Konrad-Zuse-Oberschule	Pankow	öffentlich	Berufsschule mit sonderpäd. Aufgaben	Berufsfachschule	13156	Hermann-Hesse-Str. 34-37	9160940	9165691	Niederschönhausen		Englisch	Ernährung und Hauswirtschaft, Erwerb der Berufsbildungsreife möglich	Hr. Klinger	Konrad-Zuse-Schule@t-online.de	http://www.konradzuseschuleberlin.de	 	0	0	0					2014/15  
03B07	Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen)	Pankow	öffentlich	Oberstufenzentrum	Berufsschule	10409	Mandelstr. 6-8	42185411	42185412	Prenzlauer Berg	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch, Spanisch	Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Allgemeinen Hochschulreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich, Wirtschaft und Verwaltung	Hr. Marien	oszbwd@gmx.de	http://www.oszbwd.de	 	0	0	0	Schülerfirma für SAP-Support	Berufsschule für Bürokaufleute; Kaufleute für Bürokommunikation; Sport- und Fitnesskaufleute			2014/15  
03B07	Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen)	Pankow	öffentlich	Oberstufenzentrum	Berufsfachschule	10409	Mandelstr. 6-8	42185411	42185412	Prenzlauer Berg	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Allgemeinen Hochschulreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich, Wirtschaft und Verwaltung	Hr. Marien	oszbwd@gmx.de	http://www.oszbwd.de	 	0	0	0	Schülerfirma für SAP-Support	Berufsfachschule für Wirtschaft (1-jährig) / 3-jährige Berufsfachschule für Bürokaufleute mit integrierter Fachhochschulreife / 3-jährige Berufsfachschule für Kaufleute für Bürokommunikation			2014/15  
03B07	Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen)	Pankow	öffentlich	Oberstufenzentrum	Fachoberschule	10409	Mandelstr. 6-8	42185411	42185412	Prenzlauer Berg	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Allgemeinen Hochschulreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich, Wirtschaft und Verwaltung	Hr. Marien	oszbwd@gmx.de	http://www.oszbwd.de	 	0	0	0	Schülerfirma für SAP-Support	Fachoberschule für Wirtschaft (1-jährig)			2014/15  
03B07	Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen)	Pankow	öffentlich	Oberstufenzentrum	Berufliches Gymnasium	10409	Mandelstr. 6-8	42185411	42185412	Prenzlauer Berg	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)		Wirtschaft und Verwaltung	Hr. Marien	oszbwd@gmx.de	http://www.oszbwd.de	 	0	0	0	Schülerfirma für SAP-Support			Deutsch, Englisch, Mathematik, Wirtschaftsinformatik, Wirtschaftswissenschaft/-lehre	2014/15  
03B07	Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen)	Pankow	öffentlich	Oberstufenzentrum	Berufsoberschule	10409	Mandelstr. 6-8	42185411	42185412	Prenzlauer Berg	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechter Aufzug, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Doppelqualifizierende Bildungsgänge (Berufsabschluss u. Fachhochschulreife bzw. Hochschulreife), Erwerb der Allgemeinen Hochschulreife möglich, Erwerb des mittleren Schulabschlusses/der erweiterten Berufsbildungsreife möglich, Wirtschaft und Verwaltung	Hr. Marien	oszbwd@gmx.de	http://www.oszbwd.de	 	0	0	0	Schülerfirma für SAP-Support				2014/15  
03B08	Staatliche Ballettschule und Schule für Artistik	Pankow	öffentlich	Kombinierte allg./berufl. Schule	Berufsfachschule	10409	Erich-Weinert-Str. 103	40577911	40577919	Prenzlauer Berg	rollstuhlgerechtes WC	Englisch	berufsorientiertes Profil, Internatsbetrieb, kunstbetontes Profil	Hr. Prof. Dr. Stabel	schulleitung@ballettschule-berlin.de	http://www.ballettschule-berlin.de	 	0	0	0		Berufsfachschule für Bühnentanz u. Artistik (2-jährig). Die allgemein-schulische Bildung wird mit einer professionellen Berufsausbildung verbunden. Damit ist diese Schule in der Bundesrepublik Deutschland einmalig in ihrer Struktur. Sie vergibt nach einer neunjährigen Ausbildung die anerkannte Berufsbezeichnung Staatlich geprüfte(r) Bühnentänzer(in). Fächer: Klassischer Tanz; Modern Dance; Jazz Dance; Repertoire; Pas de deux.			2014/15  
03B08	Staatliche Ballettschule und Schule für Artistik	Pankow	öffentlich	Kombinierte allg./berufl. Schule	Berufliches Gymnasium	10409	Erich-Weinert-Str. 103	40577911	40577919	Prenzlauer Berg	rollstuhlgerechtes WC	S1 Englisch/Französisch	berufsorientiertes Profil, Internatsbetrieb, kunstbetontes Profil	Hr. Prof. Dr. Stabel	schulleitung@ballettschule-berlin.de	http://www.ballettschule-berlin.de	 	0	0	0		An dieser Schule wird ein Grundschulteil mit den Jahrgangsstufen 5 und 6 geführt. Die allgemein-schulische Bildung wird mit einer professionellen Berufsausbildung verbunden. Damit ist diese Schule in der Bundesrepublik Deutschland einmalig in ihrer Struktur. Sie vergibt nach einer neunjährigen Ausbildung die anerkannte Berufsbezeichnung Staatlich geprüfte(r) Bühnentänzer(in). Einer der beiden zu belegenden Leistungskurse ist für alle Schülerinnen und Schüler der Sekundarstufe II. der Kurs "Sport/Tanz".		Sport/ Leibesübungen	2014/15  
03B08	Staatliche Ballettschule und Schule für Artistik	Pankow	öffentlich	Kombinierte allg./berufl. Schule	Integrierte Sekundarschule	10409	Erich-Weinert-Str. 103	40577911	40577919	Prenzlauer Berg	rollstuhlgerechtes WC	S1 Englisch/Französisch	berufsorientiertes Profil, Internatsbetrieb, kunstbetontes Profil	Hr. Prof. Dr. Stabel	schulleitung@ballettschule-berlin.de	http://www.ballettschule-berlin.de	Gebundener Ganztagsbetrieb	0	1	0		An dieser Schule wird ein Grundschulteil mit den Jahrgangsstufen 5 und 6 geführt. Die allgemein-schulische Bildung wird mit einer professionellen Berufsausbildung verbunden. Damit ist diese Schule in der Bundesrepublik Deutschland einmalig in ihrer Struktur. Sie vergibt nach einer neunjährigen Ausbildung die anerkannte Berufsbezeichnung Staatlich geprüfte(r) Bühnentänzer(in). Einer der beiden zu belegenden Leistungskurse ist für alle Schülerinnen und Schüler der Sekundarstufe II. der Kurs "Sport/Tanz".		Sport/ Leibesübungen	2014/15  
03B09	Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design)	Pankow	öffentlich	Oberstufenzentrum	Berufsschule	13086	Gustav-Adolf-Str. 66	912052175	912052174	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Holztechnik	Hr. Sonntag	03B09@marcel-breuer-schule.de	http://www.marcel-breuer-schule.de	 	0	0	0		berufsvorbereitende Bildungsgänge, Kooperationsausbildung			2014/15  
03B09	Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design)	Pankow	öffentlich	Oberstufenzentrum	Berufsfachschule	13086	Gustav-Adolf-Str. 66	912052175	912052174	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch, Französisch	Holztechnik	Hr. Sonntag	03B09@marcel-breuer-schule.de	http://www.marcel-breuer-schule.de	 	0	0	0		Berufsfachschule für Technische Assistenten für Produktdesign (3-jährig) ; für Bewerber mit (Fach-)Hochschulreife bestehen Verkürzungsmöglichkeiten			2014/15  
03B09	Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design)	Pankow	öffentlich	Oberstufenzentrum	Fachoberschule	13086	Gustav-Adolf-Str. 66	912052175	912052174	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Holztechnik	Hr. Sonntag	03B09@marcel-breuer-schule.de	http://www.marcel-breuer-schule.de	 	0	0	0		Fachoberschule für Technik / Schwerpunkt: Holztechnik/Bautechnik; Erwerb der Fachhochschulreife			2014/15  
03B09	Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design)	Pankow	öffentlich	Oberstufenzentrum	Berufliches Gymnasium	13086	Gustav-Adolf-Str. 66	912052175	912052174	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Holztechnik	Hr. Sonntag	03B09@marcel-breuer-schule.de	http://www.marcel-breuer-schule.de	 	0	0	0	 	'Schülerinnen und Schüler entscheiden sich ab der 12. Klasse für eines der vier angebotenen Profile: Gestaltung und Kunst; Gestaltung und Wirtschaft; Gestaltung und Europa; Gestaltung und Umwelt / Solide Grundlage
für Studiengänge im Bereich Design, Produkt- und Mediendesign, Medien- und Wirtschaftsinformatik, für Ausbildungsberufe im gestalterisch kreativem Bereich'		Biologie, Deutsch, Englisch, Gestaltungs- und Medientechnik, Mathematik	2014/15  
03B09	Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design)	Pankow	öffentlich	Oberstufenzentrum	Berufsoberschule	13086	Gustav-Adolf-Str. 66	912052175	912052174	Weißensee	Parkplatz für Schwerbehinderte vorhanden, rollstuhlgerechtes WC, zugänglich für Rollstuhlbenutzer (ebenerdig oder mit Rampe)	Englisch	Holztechnik	Hr. Sonntag	03B09@marcel-breuer-schule.de	http://www.marcel-breuer-schule.de	 	0	0	0		Berufsoberschule für Technik / Schwerpunkte: Holztechnik/ Bautechnik sowie Gestaltung; Erwerb der fachgebundenen und allgemeinen Hochschulreife			2014/15  
03E03	ARTUR SPEER AKADEMIE GmbH	Pankow	privat	Wirtschafts- und Verwaltungsschule	Wirtschafts- u. Verwaltungsschule	10407	Storkower Str. 99	4208260	42082610	Prenzlauer Berg			Ergänzungsschule	Hr. Speer	info@artur-speer-akademie.de	http://www.artur-speer-akademie.de	 	0	0	0					2014/15  
03E04	LOGO Sprachenschule	Pankow	privat	Sprachenschule	Sprachenschule	10439	Wichertstr. 67	4464852	4464852	Prenzlauer Berg			Ergänzungsschule	Hr. Riegel	riethu@snafu.de	http://www.logosprachenschule.de	 	0	0	0					2014/15  
03E07	Theaterstudio e.V. Berlin-Brandenburg	Pankow	privat	Künstlerische Schule	Künstlerische Schule	10437	Schönhauser Allee 73	4478293	4478293	Prenzlauer Berg			Ergänzungsschule	Hr. Adler	theaterstudio@t-online.de	http://www.theaterstudio.de	 	0	0	0					2014/15  
03E08	Education GmbH	Pankow	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	10409	Erich-Weinert-Str. 145	4211281	42851403	Prenzlauer Berg			Ergänzungsschule	Hr. Weier	info@education-berlin.de	http://www.education-berlin.de	 	0	0	0					2014/15  
03E10	VISAGIO College	Pankow	privat	Kosmetikschule	Kosmetikschule	13125	Röbellweg 97	94631065	94631065	Buch			Ergänzungsschule	Hr. Steffen	kasteffen@hotmail.com	http://www.visagio-college.de	 	0	0	0					2014/15  
03E11	INAC Theaterakademie	Pankow	privat	Künstlerische Schule	Künstlerische Schule	13187	Pestalozzistr. 5-8	41719262	41719267	Pankow			Ergänzungsschule	Hr. Poppe	info@inac-berlin.de	http://www.inac-berlin.de	 	0	0	0					2014/15  
03E12	LOGOS-Institut	Pankow	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	13156	Rolandstr. 18-19	4749050		Niederschönhausen			Ergänzungsschule	Hr. Meyer			 	0	0	0					2014/15  
03E14	art of acting GbR	Pankow	privat	Künstlerische Schule	Künstlerische Schule	13088	Neumagener Str. 25	0160-91725956		Weißensee			Ergänzungsschule	Fr. Busche, Fr. Müller, Hr. Richrter	Leitung@art-of-acting.de	http://www.art-of-acting.de	 	0	0	0					2014/15  
03E15	GLS Sprachenzentrum	Pankow	privat	Sprachenschule	Sprachenschule	10435	Kastanienallee 82	78008930	780089894	Prenzlauer Berg			Ergänzungsschule	Fr. Jaeschke	info@gls-sprachenzentrum.de	http://www.gls-sprachenzentrum.de	 	0	0	0					2014/15  
03E16	Primus Bildungscentren GmbH - Schule für Handwerk und Gestaltung	Pankow	privat	Sonstige Ergänzungsschule	Sonstige Ergänzungsschule	13129	Alt-Blankenburg 5	47474742	4758675	Blankenburg			Ergänzungsschule	Hr. Woldtmann	info@et.berlin.eso.de	http://www.eurotrain-berlin.eso.de	 	0	0	0		Bildungsgang Raumausstatter/in, Fachrichtung Raumdekoration (3-jährig, externe Prüfung HWK); Veranstaltungskauffrau/mann (3-jährig, externe Prüfung IHK); Assistent/in für Gestalter visuelles Marketing (IHK); Koch (IHK); Assistent/in für Innenarchitektur			2014/15  
03E17	Schule für Bildende Kunst und Gestaltung, Andrei Krioukov GmbH	Pankow	privat	Künstlerische Schule	Künstlerische Schule	10405	Immanuelkirchstr. 4	23185745		Prenzlauer Berg			Ergänzungsschule	Hr. Krioukov	krioukov@gmx.de 	http://www.kunstschuleberlin.de	 	0	0	0		Malerei/Zeichnen mit Schwerpunkt Malerei oder Bühnenbild (3,5 Jahre); Illustration mit Schwerpunkt Comic/Trickfilm oder Digital Art (3,5 Jahre); Kunstmaler/in Kulturelle Bildung (3,5-Jahre)			2014/15  
03E18	Starter Schauspielschule für Film und Fernsehen	Pankow	privat	Künstlerische Schule	Künstlerische Schule	10435	Oderberger Str. 22	44043284		Prenzlauer Berg			Ergänzungsschule	Ch. Knauf,  M. Riedel	kontakt@starter-schauspielschule.de	http://www.starter-schauspielschule.de	 	0	0	0					2014/15  
03E19	Professional Teachers Academy of Dance	Pankow	privat	Künstlerische Schule	Künstlerische Schule	10405	Immanuelkirchstr. 6	33981122		Prenzlauer Berg			Ergänzungsschule	Fr. Megerle	Ilona.scriba@gmx.de		 	0	0	0	 	 			2014/15  
03E20	Internationale WirtschaftsAkademie Berlin	Pankow	privat	Wirtschafts- und Verwaltungsschule	Wirtschafts- u. Verwaltungsschule	10119	Torstr. 33	2901972	2901973	Prenzlauer Berg			Ergänzungsschule	Hr. Manteuffel	info@iwa-berlin.de	http://www.iwa-berlin.de	 	0	0	0					2014/15  
03G01	Schule am Hamburger Platz (Grundschule)	Pankow	öffentlich	Grundschule	Grundschule	13086	Gustav-Adolf-Str. 21	9246762	92091818	Weißensee	Parkplatz für Schwerbehinderte vorhanden	1. Fremdsprache Englisch	Ganztagsschule in offener Form, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen	Fr. Lange	info@schule-am-hamburger-platz.de	http://www.schule-am-hamburger-platz.de	Offener Ganztagsbetrieb	0	0	0		Schulprofil: Medien- u. Methodenkompetenz, Einsatz von "Computerlotsen"			2014/15  
03G02	Heinrich-Roller-Grundschule	Pankow	öffentlich	Grundschule	Grundschule	10405	Heinrich-Roller-Str. 18	4425674	44039188	Prenzlauer Berg		1. Fremdsprache Englisch	Ganztagsschule in offener Form, gesundheitsbetontes Profil, Schulanfangsphase mit jahrgangsbezogenen Lerngruppen, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen, umweltbetontes Profil	Fr. Becker	heinrich-roller-grundschule@t-online.de	http://www.Heinrich-Roller-Grundschule.de	Offener Ganztagsbetrieb	0	0	0					2014/15  
03G03	Grundschule am Kollwitzplatz	Pankow	öffentlich	Grundschule	Grundschule	10435	Knaackstr. 67	44377100	44377108	Prenzlauer Berg		1. Fremdsprache Englisch, 1. Fremdsprache Französisch	Ganztagsschule in offener Form, Lerngruppen für Neuzugänge ohne Deutschkenntnisse, Schulanfangsphase mit jahrgangsübergreifenden Lerngruppen	Fr. Hartig	gsak.seki@gmx.net	http://www.gs-am-Kollwitzplatz.cidsnet.de	Offener Ganztagsbetrieb	0	0	0		Binnendifferenzierung Kl. 5/6, JÜL Klasse 1/2, Sportbetonte Klassen ab 3. Jg., Hort: Werkstattprinzip nach Reggiopäd.			2014/15  
